Sıra|Ad-Soyad|Öğrenci No|Sınıf-Şube|Kitapçık Türü|Okul Kodu|&&&|Türkçe| | |Matematik| | |Fen Bilimleri| | |Sosyal Bilgiler| | |TOPLAM| | |
1|İHSAN KORKMAZ       |   2|8A|A|987654| |7|4|15,67|6|3|5|5|2|4,33|4|1|3,67|22|10|18,67|
1|MEHMET KORKMAZ       |   2|8A|A|987654| |7|4|11,67|6|3|5|5|2|4,33|4|1|3,67|22|10|38,67|
1|AHMET KORKMAZ       |   2|8A|A|987654| |7|4|12,67|6|3|5|5|2|4,33|4|1|3,67|22|10|28,67|
1|AYŞE KORKMAZ       |   2|8B|A|987654| |7|4|17,67|6|3|5|5|2|4,33|4|1|3,67|22|10|58,67|
1|FATMA KORKMAZ       |   2|8B|A|987654| |7|4|14,67|6|3|5|5|2|4,33|4|1|3,67|22|10|57,67|
1|NURİ KORKMAZ       |   2|8B|A|987654| |7|4|19,67|6|3|5|5|2|4,33|4|1|3,67|22|10|12,67|
1|GÜLAY KORKMAZ       |   2|8C|A|987654| |7|4|22,67|6|3|5|5|2|4,33|4|1|3,67|22|10|45,67|
1|MUHAMMET KORKMAZ       |   2|8C|A|987654| |7|4|10,67|6|3|5|5|2|4,33|4|1|3,67|22|10|7,67|
1|ELİF KORKMAZ       |   2|8C|A|987654| |7|4|23,67|6|3|5|5|2|4,33|4|1|3,67|22|10|78,67|
1|2İHSAN KORKMAZ       |   2|8A|A|787654| |7|4|15,67|6|3|5|5|2|4,33|4|1|3,67|22|10|18,67|
1|2MEHMET KORKMAZ       |   2|8A|A|787654| |7|4|11,67|6|3|5|5|2|4,33|4|1|3,67|22|10|38,67|
1|2AHMET KORKMAZ       |   2|8A|A|787654| |7|4|12,67|6|3|5|5|2|4,33|4|1|3,67|22|10|28,67|
1|2AYŞE KORKMAZ       |   2|8B|A|787654| |7|4|17,67|6|3|5|5|2|4,33|4|1|3,67|22|10|58,67|
1|2FATMA KORKMAZ       |   2|8B|A|787654| |7|4|14,67|6|3|5|5|2|4,33|4|1|3,67|22|10|57,67|
1|2NURİ KORKMAZ       |   2|8B|A|787654| |7|4|19,67|6|3|5|5|2|4,33|4|1|3,67|22|10|12,67|
1|2GÜLAY KORKMAZ       |   2|8C|A|787654| |7|4|22,67|6|3|5|5|2|4,33|4|1|3,67|22|10|45,67|
1|2MUHAMMET KORKMAZ       |   2|8C|A|787654| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1|2ELİF KORKMAZ       |   2|8C|A|787654| |25|0|25|25|0|25|25|0|25|25|0|25|100|0|100|
