Sıra|Ad-Soyad|Öğrenci No|Sınıf-Şube|Kitapçık Türü|Okul Kodu|&&&|Türkçe| | |İnkılap| | |Din Kültürü| | |Yabancı Dil| | |Matematik| | |Fen Bilimleri| | |TOPLAM| | |
1|İHSAN YILMAZ        |0123|8F|C|123456| |17|3|16|10|0|10|10|0|10|10|0|10|20|0|20|20|0|20|87|3|86|
1|ALİ YILMAZ        |1123|8F|C|123456| |10|7|12,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|62|
1|VELİ YILMAZ        |2123|8F|C|123456| |10|7|11,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|22|
1|AYŞE YILMAZ        |3123|8G|C|123456| |10|7|19,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|42|
1|FATMA YILMAZ        |4123|8G|C|123456| |10|7|12,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|92|
1|HASAN YILMAZ        |5123|8G|C|123456| |10|7|10,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|82|
1|MUHAMMET YILMAZ        |6123|8E|C|123456| |10|7|12,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|15|
1|AYCAN YILMAZ        |7123|8E|C|123456| |10|7|11,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|46|
1|ELİF YILMAZ        |8123|8E|C|123456| |10|7|16,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|55|
1|2İHSAN YILMAZ        |0123|8F|C|223456| |10|7|17,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|32|
1|2ALİ YILMAZ        |1123|8F|C|223456| |10|7|12,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|62|
1|2VELİ YILMAZ        |2123|8F|C|223456| |10|7|11,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|22|
1|2AYŞE YILMAZ        |3123|8G|C|223456| |10|7|19,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|42|
1|2FATMA YILMAZ        |4123|8G|C|223456| |10|7|12,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|92|
1|2HASAN YILMAZ        |5123|8G|C|223456| |10|7|10,67|6|4|4,67|5|3|4|3|2|2,33|9|6|7|8|5|6,33|41|27|82|
1|2MUHAMMET YILMAZ        |6123|8E|C|223456| |20|0|20|10|0|10|10|0|10|10|0|10|17|3|16|19|1|18,67|41|27|15|
1|2AYCAN YILMAZ        |7123|8E|C|223456| |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1|2ELİF YILMAZ        |8123|8E|C|223456| |20|0|20|10|0|10|10|0|10|10|0|10|20|0|20|20|0|20|90|0|90|
