Sıra|Ad-Soyad|Öğrenci No|Sınıf-Şube|Kitapçık Türü|Okul Kodu|&&&|türkçe| | |matematik| | |fen| | |sosyal| | |TOPLAM| | |
1|İHSAN KORKMAZ       |0307|8H|A|953938| |18|4|17|6|3|5,25|4|2|3,5|2|1|1,75|20|10|12,5|
1|MEHMET KORKMAZ       |0407|8H|A|953938| |19|4|18|6|3|5,25|4|2|3,5|2|1|1,75|20|10|15,5|
1|AYŞE KORKMAZ       |0507|8H|A|953938| |15|4|14|6|3|5,25|4|2|3,5|2|1|1,75|20|10|13,5|
1|FATMA KORKMAZ       |0607|8K|A|953938| |16|4|15|6|3|5,25|4|2|3,5|2|1|1,75|20|10|18,5|
1|HÜSEYİN KORKMAZ       |0707|8K|A|953938| |13|4|12|6|3|5,25|4|2|3,5|2|1|1,75|20|10|14,5|
1|NURİ KORKMAZ       |0807|8K|A|953938| |20|4|19|6|3|5,25|4|2|3,5|2|1|1,75|20|10|16,5|
1|CAN KORKMAZ       |0907|8L|A|953938| |12|4|11|6|3|5,25|4|2|3,5|2|1|1,75|20|10|10,5|
1|HASAN KORKMAZ       |0308|8L|A|953938| |20|4|19|6|3|5,25|4|2|3,5|2|1|1,75|20|10|15,5|
1|ELİF KORKMAZ       |0309|8L|A|953938| |15|4|14|6|3|5,25|4|2|3,5|2|1|1,75|20|10|12,5|
1|RUMEYSA KORKMAZ       |0310|8F|A|953938| |11|4|10|6|3|5,25|4|2|3,5|2|1|1,75|20|10|17,5|
1|MERT KORKMAZ       |0311|8F|A|953938| |12|4|11|6|3|5,25|4|2|3,5|2|1|1,75|20|10|13,5|
1|AVNİ KORKMAZ       |0312|8F|A|953938| |18|4|17|6|3|5,25|4|2|3,5|2|1|1,75|20|10|18,5|
1|2İHSAN KORKMAZ       |0307|8H|A|753938| |8|4|17|6|3|5,25|4|2|3,5|2|1|1,75|20|10|12,5|
1|2MEHMET KORKMAZ       |0407|8H|A|753938| |9|4|18|6|3|5,25|4|2|3,5|2|1|1,75|20|10|15,5|
1|2AYŞE KORKMAZ       |0507|8H|A|753938| |5|4|14|6|3|5,25|4|2|3,5|2|1|1,75|20|10|13,5|
1|2FATMA KORKMAZ       |0607|8K|A|753938| |6|4|15|6|3|5,25|4|2|3,5|2|1|1,75|20|10|18,5|
1|2HÜSEYİN KORKMAZ       |0707|8K|A|753938| |3|4|12|6|3|5,25|4|2|3,5|2|1|1,75|20|10|14,5|
1|2NURİ KORKMAZ       |0807|8K|A|753938| |2|4|9|6|3|5,25|4|2|3,5|2|1|1,75|20|10|16,5|
1|2CAN KORKMAZ       |0907|8L|A|753938| |1|4|1|6|3|5,25|4|2|3,5|2|1|1,75|20|10|10,5|
1|2HASAN KORKMAZ       |0308|8L|A|753938| |2|4|9|6|3|5,25|4|2|3,5|2|1|1,75|20|10|15,5|
1|2ELİF KORKMAZ       |0309|8L|A|753938| |1|4|4|6|3|5,25|4|2|3,5|2|1|1,75|20|10|12,5|
1|2RUMEYSA KORKMAZ       |0310|8F|A|753938| |1|4|0|6|3|5,25|4|2|3,5|2|1|1,75|20|10|17,5|
1|2MERT KORKMAZ       |0311|8F|A|753938| |2|4|1|6|3|5,25|4|2|3,5|2|1|1,75|20|10|13,5|
1|2AVNİ KORKMAZ       |0312|8F|A|753938| |8|4|7|6|3|5,25|4|2|3,5|2|1|1,75|20|10|18,5|
